sub,kind,target_x0,target_y0,response_x0,response_y0,target_orientation_deg,target_radius_pixels,which_eye,sub_num,match_x0,match_y0,response_r,response_theta,match_r,match_theta,target_radius_deg,target_ori_id,target_rad_id,target_id,error_x,error_y,error_r,error_theta,error_r_mu,error_r_sd
hb,A,0.37584,-0.92394,-0.51678,1.04922,292,64,bad,4,-0.37584,0.92394,1.1695829071938424,116.22196677755446,0.9974571816373874,112.13549187810035,1,7,1,7,-0.14094,0.12528000000000006,0.172125725556455,4.086474899454103,0.10247626899063562,0.1832918402341399
hb,A,2.67786,-6.46758,-1.75392,5.3244,292,448,bad,4,-2.67786,6.46758,5.605842552765819,108.23249108070381,7.000037516756607,112.49168668421689,7,7,4,31,0.92394,-1.14318,-1.3941949639907882,-4.259195603513078,-1.276432451951926,0.8675864587725263
hb,A,1.91052,4.6197,-1.4094,-4.05594,67,320,bad,4,-1.91052,-4.6197,4.2938394990497715,-109.16184589377552,4.999171407383428,-112.46799697245953,5,2,3,18,0.50112,0.5637600000000003,-0.7053319083336564,3.3061510786840103,-0.5180938921057764,0.48346622354561647
hb,A,-2.77182,1.14318,3.24162,-1.3311,157,192,bad,4,2.77182,-1.14318,3.5042727397278886,-22.324426970813935,2.998307293257314,-22.412689468634277,3,4,2,12,0.4698000000000002,-0.18791999999999986,0.5059654464705745,0.08826249782034168,0.16114337777629004,0.6440643199290877
hb,A,-1.91052,4.6197,1.81656,-4.57272,112,320,bad,4,1.91052,-4.6197,4.920331130320397,-68.33404127670978,4.999171407383428,-67.53200302754048,5,3,3,19,-0.09396000000000004,0.04697999999999958,-0.07884027706303076,-0.8020382491692999,-0.2987231206042483,0.6309669214300231
hb,A,-1.14318,-2.77182,1.566,3.35124,247,192,bad,4,1.14318,2.77182,3.6990763087019443,64.95379922035721,2.998307293257314,67.58731053136572,3,6,2,14,0.42282,0.5794200000000003,0.7007690154446302,-2.6335113110085047,0.15779718927421588,0.38513834721298806
hb,A,2.77182,-1.14318,-2.86578,0.6107400000000001,337,192,bad,4,-2.77182,1.14318,2.9301362350580225,167.96940390346214,2.998307293257314,157.58731053136572,3,8,2,16,-0.09396000000000004,-0.53244,-0.06817105819929159,10.38209337209642,-0.2692811506410531,0.2869093778715291
hb,A,4.6197,1.91052,-3.14766,-2.92842,22,320,bad,4,-4.6197,-1.91052,4.29923332374506,-137.06647698564424,4.999171407383428,-157.53200302754047,5,1,3,17,1.4720399999999998,-1.0179,-0.6999380836383677,20.465526041896226,-0.913478987450959,0.583627342395361
hb,A,-2.67786,6.46758,4.52574,-5.57496,112,448,bad,4,2.67786,-6.46758,7.1807034160449765,-50.93038559746602,7.000037516756607,-67.50831331578311,7,3,4,27,1.84788,0.89262,0.1806658992883694,16.577927718317092,-0.7627326667344347,0.7769612748917513
hb,A,-1.91052,-4.6197,2.67786,4.49442,247,320,bad,4,1.91052,4.6197,5.231705774983911,59.21271861677933,4.999171407383428,67.53200302754048,5,6,3,22,0.7673399999999999,-0.12528000000000006,0.23253436760048274,-8.319284410761156,-0.5348443926274775,0.5924852705006615
